portal_id,portal_code,customer_id,client_id,country_prefix,member_created,member_updated,status,access_right_id,i18n,subject,action,child_id,parent_id,is_mobile,other_child
Bigint,string,Bigint,Bigint,string,Bigint,Bigint,Smallint,Bigint,string,string,string,Bigint,Bigint,Boolean,string
1,,0,0,84,0,0,1,144,AccessRights.depotRequestProvider.po.delete,depotRequestProvider.po,delete,45,15,FALSE,
1,,0,0,84,0,0,1,145,AccessRights.depotRequestProvider.do.read,depotRequestProvider.do,read,49,15,FALSE,
1,,0,0,84,0,0,1,146,AccessRights.depotRequestProvider.do.create,depotRequestProvider.do,create,49,15,FALSE,
1,,0,0,84,0,0,1,147,AccessRights.depotRequestProvider.do.update,depotRequestProvider.do,update,49,15,FALSE,
1,,0,0,84,0,0,1,148,AccessRights.depotRequestProvider.do.delete,depotRequestProvider.do,delete,49,15,FALSE,
1,,0,0,84,0,0,1,149,AccessRights.depotRequestProvider.receiving.read,depotRequestProvider.receiving,read,52,15,FALSE,
1,,0,0,84,0,0,1,150,AccessRights.depotRequestProvider.receiving.create,depotRequestProvider.receiving,create,52,15,FALSE,
1,,0,0,84,0,0,1,151,AccessRights.depotRequestProvider.putaway.read,depotRequestProvider.putaway,read,53,15,FALSE,
1,,0,0,84,0,0,1,152,AccessRights.depotRequestProvider.packing.read,depotRequestProvider.packing,read,54,15,FALSE,
1,,0,0,84,0,0,1,153,AccessRights.depotRequestProvider.packing.create,depotRequestProvider.packing,create,54,15,FALSE,
1,,0,0,84,0,0,1,154,AccessRights.depotRequestProvider.packing.update,depotRequestProvider.packing,update,54,15,FALSE,
1,,0,0,84,0,0,1,155,AccessRights.depotRequestProvider.packing.delete,depotRequestProvider.packing,delete,54,15,FALSE,
1,,0,0,84,0,0,1,156,AccessRights.depotRequestProvider.report.read,depotRequestProvider.report,read,55,15,FALSE,
1,,0,0,84,0,0,1,157,AccessRights.depotRequestProvider.po.createItem,depotRequestProvider.po.create,createItem,44,15,FALSE,
1,,0,0,84,0,0,1,158,AccessRights.personnelManager.shopAndPassenger.read,personnelManager.shopAndPassenger,read,56,7,FALSE,
1,,0,0,84,0,0,1,159,AccessRights.personnelManager.shopAndPassenger.create,personnelManager.shopAndPassenger,create,56,7,FALSE,
1,,0,0,84,0,0,1,160,AccessRights.personnelManager.shopAndPassenger.update,personnelManager.shopAndPassenger,update,56,7,FALSE,
1,,0,0,84,0,0,1,161,AccessRights.personnelManager.shopAndPassenger.delete,personnelManager.shopAndPassenger,delete,56,7,FALSE,
1,,0,0,84,0,0,1,162,AccessRights.personnelManager.shopAndPassenger.export,personnelManager.shopAndPassenger,export,56,7,FALSE,
1,,0,0,84,0,0,1,164,AccessRights.Demoroute.read,demoroute,read,59,17,FALSE,
1,,0,0,84,0,0,1,165,AccessRights.mySanxe24.baseServices.read,mySanxe24.baseServices,read,60,3,FALSE,
1,,0,0,84,0,0,1,166,AccessRights.mySanxe24.baseServices.create,mySanxe24.baseServices,create,60,3,FALSE,
1,,0,0,84,0,0,1,167,AccessRights.mySanxe24.baseServices.update,mySanxe24.baseServices,update,60,3,FALSE,
